Nome do Arquivo;iCodDocumento
03000000012017_6622932_inicial_lorena.pdf ;5070
16000000032017_6626319_p.i..pdf ;5070
16000000042017_6626401_p.i..pdf ;5070
11000000012017_6626489_00122055920165030077.pdf ;5070
04000000012017_6627051_NP00017480420165100002GR1_DT16092016_CD5083.pdf ;5083
04000000022017_6627052_NP00013575220165100001GR1_DT16092016_CD5083.pdf ;5083
11003000012017_6628922_00115622220165030071.pdf ;5083
11003000022017_6628936_00122931620165030104.pdf ;5083
04000000042017_6629074_NP00018302920165100004GR1.pdf ;5083
16000000082017_6629923_inicial.pdf ;5070
10000000022017_6630661_inicial.pdf ;5083
09000000282017_6636835_NP00045341220164013702GR1CD5070.pdf ;5070
09000000292017_6636836_NP00043392720164013702GR1CD5070.pdf ;5070
09000000302017_6636837_NP00040283620164013702GR1CD5070.pdf ;5070
09000000322017_6636839_NP00044649220164013702GR1CD5070.pdf ;5070
09000000332017_6636840_NP00041825420164013702GR1CD5070.pdf ;5070
09000000342017_6636841_NP00030809420164013702GR1CD5070.pdf ;5070
09000000352017_6636842_NP00041869120164013702GR1CD5070.pdf ;5070
09000000362017_6636843_NP00044215820164013702GR1CD5070.pdf ;5070
09000000372017_6636844_NP00042873120164013702GR1CD5070.pdf ;5070
09000000382017_6636845_NP00041833920164013702GR1CD5070.pdf ;5070
09000000392017_6636846_NP00040777720164013702GR1CD5070.pdf ;5070
09000000402017_6636847_NP00041850920164013702GR1CD5070.pdf ;5070
09000000412017_6636848_NP00044033720164013702GR1CD5070.pdf ;5070
09000000422017_6636849_NP00028817220164013702GR1CD5070.pdf ;5070
09000000442017_6636851_NP00042240620164013702GR1CD5070.pdf ;5070
09000000452017_6636852_NP00043107420164013702GR1CD5070.pdf ;5070
09000000462017_6636853_NP00044423420164013702GR1CD5070.pdf ;5070
09000000472017_6636854_NP00041228120164013702GR1CD5070.pdf ;5070
09000000482017_6636855_NP00042093720164013702GR1CD5070.pdf ;5070
09000000492017_6636856_NP00040880920164013702GR1CD5070.pdf ;5070
09000000502017_6636857_NP00045584020164013702GR1CD5070.pdf ;5070
09000000512017_6636858_NP00028894920164013702GR1CD5070.pdf ;5070
09000000522017_6636859_NP00035789320164013702GR1CD5070.pdf ;5070
09000000532017_6636860_NP00045688420164013702GR1CD5070.pdf ;5070
09000000542017_6636861_NP00034576520164013702GR1CD5070.pdf ;5070
09000000552017_6636862_NP00044025220164013702GR1CD5070.pdf ;5070
09000000562017_6636863_NP00040084520164013702GR1CD5070.pdf ;5070
09000000572017_6636864_NP00043427920164013702GR1CD5070.pdf ;5070
09000000582017_6636865_NP00043895320164013702GR1CD5070.pdf ;5070
09000000592017_6636866_NP00041739220164013702GR1CD5070.pdf ;5070
09000000602017_6636867_NP00021472420164013702GR1CD5070.pdf ;5070
09000000612017_6636868_NP00043748420164013702GR1CD5070.pdf ;5070
09000000622017_6636869_NP00045307220164013702GR1CD5070.pdf ;5070
09000000632017_6636870_NP00051577620164013702GR1CD5070.pdf ;5070
09000000642017_6636871_NP00041938320164013702GR1CD5070.pdf ;5070
09000000652017_6636872_NP00043228820164013702GR1CD5070.pdf ;5070
09000000662017_6636874_NP00043652520164013702GR1CD5070.pdf ;5070
09000000672017_6636875_NP00041816920164013702GR1CD5070.pdf ;5070
09000000702017_6638055_NP00024962720164013702GR1CD5070.pdf ;5070
09000000822017_6638067_NP00006333620164013702GR1CD5070.pdf ;5070
09000000852017_6638070_NP00014518520164013702GR1CD5070.pdf ;5070
09000000882017_6638074_NP00055864320164013702GR1CD5070.pdf ;5070
09000001052017_6638091_NP00016111320164013702GR1CD5070.pdf ;5070
09000001072017_6638093_NP00039504220164013702GR1CD5070.pdf ;5070
09000001112017_6638097_NP00035823320164013702GR1CD5070.pdf ;5070
04000000152017_6640292_NP00732875420164013400GR1.pdf ;5083
03001000132017_6643147_0002142-79.2016.8.05.0105.pdf ;5070
09000001502017_6656107_CE09000001502017GR1CD5070.pdf ;5070
09000001512017_6656108_CE09000001512017GR1CD5070.pdf ;5070
03001000372017_6660874_ANEXO_GINAMERICO_ANDRADE_CRUZ.zip ;5070
03000001632017_6667276_inicial_valquiria.pdf ;5070
16000000332017_6672932_27995-89.2016.4.01.4000.pdf ;5070
03000001842017_6675414_inicial_benilde.pdf ;5070
10000000192017_6676265_peticao_inicial.pdf ;5083
04000000882017_6678820_NP00455732220164013400GR1DT10012017CD5083.pdf ;5083
09000001522017_6678939_ANTONIO_PEREIRA_DA_SILVA_JUNIOR_E_OUTROS_169747520165160004.docx ;5070
09000001522017_6678940_NOTIFICACAO__ANTONIO_PEREIRA_DA_SILVA_JUNIOR.pdf ;5070
08000002252017_6684061_NP00033745820164013505.pdf ;5083
08000002272017_6684063_NP00034273920164013505.pdf ;5083
08000002282017_6684064_NP00034282420164013505_-_(parte_1).pdf ;5083
08000002282017_6684065_NP00034282420164013505_-_(parte_2).pdf ;5083
08000002292017_6684066_NP00034802020164013505.pdf ;5083
08000002302017_6684067_NP00035443020164013505_-_(parte_1).pdf ;5083
08000002302017_6684068_NP00035443020164013505_-_(parte_2).pdf ;5083
08000002302017_6684069_NP00035443020164013505_-_(parte_3).pdf ;5083
08000002302017_6684070_NP00035443020164013505_-_(parte_4).pdf ;5083
08000002302017_6684071_NP00035443020164013505_-_(parte_5).pdf ;5083
08000002312017_6684072_NP00036092520164013505.pdf ;5083
08000002322017_6684073_NP00036620620164013505.pdf ;5083
08000002332017_6684074_NP00037330820164013505.pdf ;5083
08000002342017_6684075_NP00037478920164013505_-_(parte_1).pdf ;5083
08000002342017_6684076_NP00037478920164013505_-_(parte_2).pdf ;5083
11003000242017_6685179_00030646520164013824.pdf ;5083
08000002162017_6685421_INICIAL.pdf ;5083
08000002162017_6685422_DESPACHO.pdf ;5083
08000002162017_6685423_AUDIENCIA.pdf ;5083
08000002172017_6685490_INICIAL.pdf ;5083
08000002172017_6685491_TUTELA_INDEFERIDA.pdf ;5083
03000002102017_6685652_inicial_edmar.pdf ;5070
08000002182017_6685664_PETICAO_INICIAL.pdf ;5083
08000002182017_6685665_TUTELA_IINDEFERIDA.pdf ;5083
08000002192017_6685711_A_O.pdf ;5083
08000002192017_6685712_PETICAO_INICIAL.pdf ;5083
08000002202017_6685939_A_O.pdf ;5083
08000002202017_6685940_PETICAO_INICIAL.pdf ;5083
08000002202017_6685941_SENHA.pdf ;5083
08000002222017_6686931_NP00397124620164013500.pdf ;5083
08000002232017_6686932_NP00398796320164013500.pdf ;5083
08000002162017_6687407_SIPES.pdf ;5083
03000002042017_6687727_inicial_00386959020164013300.pdf ;5070
03000002042017_6689785_03.000.00204-2017.PDF ;5070
04000000962017_6690213_NP10008266720164013400GR1_DT27012016_CD5083.pdf ;5083
04000000972017_6690214_1_pdfsam_NP10086074320164013400GR1_DT27102016_CD5083.pdf ;5083
04000000972017_6690215_104_pdfsam_NP10086074320164013400GR1_DT27102016_CD5083.pdf ;5083
04000000982017_6690216_1_pdfsam_NP10098623620164013400GR1_DT14122016_CD5083.pdf ;5083
04000000982017_6690217_26_pdfsam_NP10098623620164013400GR1_DT14122016_CD5083.pdf ;5083
04000000982017_6690218_51_pdfsam_NP10098623620164013400GR1_DT14122016_CD5083.pdf ;5083
04000000982017_6690219_76_pdfsam_NP10098623620164013400GR1_DT14122016_CD5083.pdf ;5083
04000000982017_6690220_101_pdfsam_NP10098623620164013400GR1_DT14122016_CD5083.pdf ;5083
03001000542017_6690379_ROSIMEIRE_ALVES_DE_JESUS.zip ;5070
03001000552017_6690413_DAVID_DE_JESUS_PEREIRA__________________.zip ;5070
16000000082017_6692318_C084956_16000000082017_5070_D11_H1640_inicial.pdf ;5070
09000001902017_6693969_PETICAO_INICIAL.pdf ;5070
09000001902017_6693970_DECISAO.pdf ;5070
08000002132017_6694045_NP03920395220158090175_-_JU_745322.pdf ;5083
08000002132017_6694046_NP03920395220158090175_-_Oficio.pdf ;5083
11003000352017_6696386_00030923320164013824.pdf ;5083
08000002542017_6698011_NP00400415820164013500.pdf ;5083
08000002552017_6698012_NP00402009820164013500.pdf ;5083
08000002562017_6698013_NP00397289720164013500.pdf ;5083
08000002572017_6698014_NP00404607820164013500.pdf ;5083
08000002582017_6698015_NP00382306320164013500.pdf ;5083
08000002592017_6698016_NP00404970820164013500.pdf ;5083
08000002612017_6698018_NP00404763220164013500.pdf ;5083
10000000432017_6698460_peticao_inicial.pdf ;5083
10000000452017_6698590_peticao_inicial.pdf ;5083
10000000462017_6698709_peticao_inicial.pdf ;5083
10000000442017_6698791_peticao_inicial.pdf ;5083
10000000472017_6698955_peticao_inicial.pdf ;5083
03001000592017_6699655_MAILSON_MACHADO_SANTOS_(2).pdf ;5070
03001000602017_6699664_JOAO_CARMO_DE_ARAUJO_(2).pdf ;5070
02001000312017_6699679_20160112_MANDADO_DE_CITACAO.pdf ;5070
08000002652017_6699834_NP00393885620164013500.pdf ;5083
08000002702017_6699839_NP00404252120164013500.pdf ;5083
08000002722017_6699841_NP00386151120164013500.pdf ;5083
08000002732017_6699842_NP00391426020164013500.pdf ;5083
08000002752017_6699844_NP00366275220164013500.pdf ;5083
03000002482017_6700288_inicial_jose_martiano.pdf ;5070
16000000402017_6701913_446-PETICAO_INICIAL.PDF ;5070
11003000372017_6704432_00042958420164013806.pdf ;5083
04000000042017_6704576_NP00018302920165100004GR1.pdf ;5083
04000001072017_6704577_NP00014111520165100002GR1.pdf ;5083
04000001082017_6704578_NP00015415720165100017GR1.pdf ;5083
04000001092017_6704579_NP00016716820165100010GR1.pdf ;5083
08000002832017_6707446_CITACAO.pdf ;5083
04000001032017_6707673_NP00526273920164013400GR1DT12012017CD5083.pdf ;5083
04000001042017_6707674_NP00655101820164013400GR1DT12012017CD5083.pdf ;5083
04000001052017_6707675_NP00640647720164013400GR1DT12012017CD5083.pdf ;5083
04000001062017_6707676_NP00749524220154013400GR1DT12012017CD5083.pdf ;5083
03000002612017_6707953_inicial_WELLIGTON.pdf ;5070
08000002912017_6708001_NP00028280920164013503.pdf ;5083
08000002922017_6708002_NP00027042620164013503.pdf ;5083
08000002932017_6708062_NP00015905220164013503.pdf ;5083
08000002942017_6708065_NP00017723820164013503.pdf ;5083
08000002842017_6708381_NP00357276920164013500.pdf ;5083
08000002852017_6708382_NP00257366920164013500.pdf ;5083
08000002862017_6708383_NP03232469720138090024.pdf ;5083
08000002872017_6708385_NP00356401620164013500.pdf ;5083
08000002882017_6708386_NP00348486220164013500.pdf ;5083
08000002892017_6708387_NP00356600720164013500.pdf ;5083
08000002902017_6708388_NP00356229220164013500.pdf ;5083
08000002992017_6710477_NP00388645920164013500.pdf ;5083
08000003022017_6710480_NP00402433520164013500.pdf ;5083
03000003162017_6711477_inicial_GILVANA.pdf ;5070
03001000692017_6712975_ROSALVO_NASCIMENTO_DOS_SANTOS___________.zip ;5070
03001000692017_6712978_Rosalvo_consulta.pdf ;5070
03001000682017_6713043_inicial_Genuzia_Maria_de_Araujo(3).pdf ;5070
03001000682017_6713044_NOTIFICACAO_-_OBRIGACAO_DE_FAZER_-_Genuzia_Maria_de_Araujo_-_CEF_-_BA_(2).pdf;5070
08000003052017_6713208_NP00065193420164013502.pdf ;5083
08000003092017_6713212_NP00071792820164013502.pdf ;5083
08000003142017_6713217_NP00071784320164013502.pdf ;5083
08000003162017_6713219_NP00068935020164013502.pdf ;5083
08000003242017_6713227_NP00070944220164013502.pdf ;5083
08000003252017_6713228_NP00072243220164013502.pdf ;5083
08000003262017_6713229_NP00070961220164013502.pdf ;5083
08000002132017_6715270_CE08000002132017_01.pdf ;5083
10000000562017_6715357_peticao_inicial.pdf ;5070
10000000592017_6715476_peticao_inicial.pdf ;5070
10000000552017_6715609_peticao_inicial.pdf ;5070
08000003332017_6715634_processo_Tiago_Estevam_de_Castro.pdf ;5083
10000000602017_6715664_peticao_incial.pdf ;5070
10000000522017_6715736_peticao_inicial.pdf ;5070
08000003292017_6715780_NP00121984220165180015_-_Peticao_Inicial.pdf ;5083
08000003292017_6715781_NP00121984220165180015.pdf ;5083
10000000532017_6715806_peticao_inicial.pdf ;5070
08000003302017_6715813_NP00131087920165180141_-_Peticao_Inicial.pdf ;5083
08000003302017_6715814_NP00131087920165180141.pdf ;5083
08000003312017_6715815_NP00131321020165180141_-_Peticao_Inicial.pdf ;5083
08000003312017_6715816_NP00131321020165180141.pdf ;5083
03000003722017_6718772_inicial_jose_lima.pdf ;5070
04000001122017_6719205_PETICAO_INICIAL.pdf ;5070
16000000482017_6720066_MANDADO_DE_CITACAO_E_INTIMACAO.pdf ;5070
08000003422017_6720084_NP00402875420164013500.pdf ;5083
08000003432017_6720085_NP00388836520164013500.pdf ;5083
08000003442017_6720086_NP00408504820164013500.pdf ;5083
08000003452017_6720087_NP00396475120164013500.pdf ;5083
08000003462017_6720088_NP00387728120164013500.pdf ;5083
08000003482017_6720090_NP00395869320164013500.pdf ;5083
08000003492017_6720091_NP00390629620164013500.pdf ;5083
08000003352017_6720804_NP00400935420164013500.pdf ;5083
08000003372017_6720806_NP00401991620164013500.pdf ;5083
08000003412017_6720810_NP00398804820164013500.pdf ;5083
08000003522017_6722869_NP00404390520164013500.pdf ;5083
08000003562017_6722873_NP00415286320164013500.pdf ;5083
08000003572017_6722874_NP00416212620164013500.pdf ;5083
08000003582017_6722875_NP00404806920164013500.pdf ;5083
10000000652017_6722950_PETICAO_INICIAL.pdf ;5070
10000000542017_6723124_peticao_inicial.pdf ;5070
11000003222017_6724092_Peticao_Inicial.pdf ;5070
11000002992017_6724102_INICIAL_(3).pdf ;5070
11000003012017_6725565_INICIAL_(3).pdf ;5070
11000003022017_6725636_INICIAL_(3).pdf ;5070
11000003022017_6725684_INICIAL_(3).pdf ;5070
11000003042017_6725770_INICIAL_(3).pdf ;5070
11000003052017_6725847_INICIAL_(3).pdf ;5070
11000003062017_6725926_INICIAL_(3).pdf ;5070
11000003072017_6726043_INICIA.pdf ;5070
